Cut sets,BE1,BE2,BE3,BE4,BE5,BE6,BE7,BE8,BE9,T,N
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,1
2,0,0,0,0,0,0,0,1,0,0,1
3,0,0,0,0,0,0,0,1,1,0,1
4,0,0,0,0,0,0,1,0,0,0,1
5,0,0,0,0,0,0,1,0,1,0,1
6,0,0,0,0,0,0,1,1,0,0,1
7,0,0,0,0,0,0,1,1,1,1,1
8,0,0,0,0,0,1,0,0,0,0,1
9,0,0,0,0,0,1,0,0,1,0,1
10,0,0,0,0,0,1,0,1,0,0,1
11,0,0,0,0,0,1,0,1,1,0,1
12,0,0,0,0,0,1,1,0,0,0,1
13,0,0,0,0,0,1,1,0,1,0,1
14,0,0,0,0,0,1,1,1,0,0,1
15,0,0,0,0,0,1,1,1,1,1,1
16,0,0,0,0,1,0,0,0,0,0,1
17,0,0,0,0,1,0,0,0,1,0,1
18,0,0,0,0,1,0,0,1,0,0,1
19,0,0,0,0,1,0,0,1,1,0,1
20,0,0,0,0,1,0,1,0,0,0,1
21,0,0,0,0,1,0,1,0,1,0,1
22,0,0,0,0,1,0,1,1,0,0,1
23,0,0,0,0,1,0,1,1,1,1,1
24,0,0,0,0,1,1,0,0,0,0,1
25,0,0,0,0,1,1,0,0,1,0,1
26,0,0,0,0,1,1,0,1,0,0,1
27,0,0,0,0,1,1,0,1,1,1,1
28,0,0,0,0,1,1,1,0,0,0,1
29,0,0,0,0,1,1,1,0,1,0,1
30,0,0,0,0,1,1,1,1,0,0,1
31,0,0,0,0,1,1,1,1,1,1,1
32,0,0,0,1,0,0,0,0,0,0,1
33,0,0,0,1,0,0,0,0,1,0,1
34,0,0,0,1,0,0,0,1,0,0,1
35,0,0,0,1,0,0,0,1,1,0,1
36,0,0,0,1,0,0,1,0,0,0,1
37,0,0,0,1,0,0,1,0,1,0,1
38,0,0,0,1,0,0,1,1,0,0,1
39,0,0,0,1,0,0,1,1,1,1,1
40,0,0,0,1,0,1,0,0,0,0,1
41,0,0,0,1,0,1,0,0,1,0,1
42,0,0,0,1,0,1,0,1,0,0,1
43,0,0,0,1,0,1,0,1,1,1,1
44,0,0,0,1,0,1,1,0,0,0,1
45,0,0,0,1,0,1,1,0,1,0,1
46,0,0,0,1,0,1,1,1,0,0,1
47,0,0,0,1,0,1,1,1,1,1,1
48,0,0,0,1,1,0,0,0,0,0,1
49,0,0,0,1,1,0,0,0,1,0,1
50,0,0,0,1,1,0,0,1,0,0,1
51,0,0,0,1,1,0,0,1,1,0,1
52,0,0,0,1,1,0,1,0,0,0,1
53,0,0,0,1,1,0,1,0,1,0,1
54,0,0,0,1,1,0,1,1,0,0,1
55,0,0,0,1,1,0,1,1,1,1,1
56,0,0,0,1,1,1,0,0,0,0,1
57,0,0,0,1,1,1,0,0,1,0,1
58,0,0,0,1,1,1,0,1,0,0,1
59,0,0,0,1,1,1,0,1,1,1,1
60,0,0,0,1,1,1,1,0,0,0,1
61,0,0,0,1,1,1,1,0,1,0,1
62,0,0,0,1,1,1,1,1,0,0,1
63,0,0,0,1,1,1,1,1,1,1,1
64,0,0,1,0,0,0,0,0,0,0,1
65,0,0,1,0,0,0,0,0,1,0,1
66,0,0,1,0,0,0,0,1,0,0,1
67,0,0,1,0,0,0,0,1,1,0,1
68,0,0,1,0,0,0,1,0,0,0,1
69,0,0,1,0,0,0,1,0,1,0,1
70,0,0,1,0,0,0,1,1,0,0,1
71,0,0,1,0,0,0,1,1,1,1,1
72,0,0,1,0,0,1,0,0,0,0,1
73,0,0,1,0,0,1,0,0,1,0,1
74,0,0,1,0,0,1,0,1,0,0,1
75,0,0,1,0,0,1,0,1,1,1,1
76,0,0,1,0,0,1,1,0,0,0,1
77,0,0,1,0,0,1,1,0,1,0,1
78,0,0,1,0,0,1,1,1,0,0,1
79,0,0,1,0,0,1,1,1,1,1,1
80,0,0,1,0,1,0,0,0,0,0,1
81,0,0,1,0,1,0,0,0,1,0,1
82,0,0,1,0,1,0,0,1,0,0,1
83,0,0,1,0,1,0,0,1,1,0,1
84,0,0,1,0,1,0,1,0,0,0,1
85,0,0,1,0,1,0,1,0,1,0,1
86,0,0,1,0,1,0,1,1,0,0,1
87,0,0,1,0,1,0,1,1,1,1,1
88,0,0,1,0,1,1,0,0,0,0,1
89,0,0,1,0,1,1,0,0,1,0,1
90,0,0,1,0,1,1,0,1,0,0,1
91,0,0,1,0,1,1,0,1,1,1,1
92,0,0,1,0,1,1,1,0,0,0,1
93,0,0,1,0,1,1,1,0,1,0,1
94,0,0,1,0,1,1,1,1,0,0,1
95,0,0,1,0,1,1,1,1,1,1,1
96,0,0,1,1,0,0,0,0,0,0,1
97,0,0,1,1,0,0,0,0,1,0,1
98,0,0,1,1,0,0,0,1,0,0,1
99,0,0,1,1,0,0,0,1,1,0,1
100,0,0,1,1,0,0,1,0,0,0,1
101,0,0,1,1,0,0,1,0,1,0,1
102,0,0,1,1,0,0,1,1,0,0,1
103,0,0,1,1,0,0,1,1,1,1,1
104,0,0,1,1,0,1,0,0,0,0,1
105,0,0,1,1,0,1,0,0,1,0,1
106,0,0,1,1,0,1,0,1,0,0,1
107,0,0,1,1,0,1,0,1,1,1,1
108,0,0,1,1,0,1,1,0,0,0,1
109,0,0,1,1,0,1,1,0,1,0,1
110,0,0,1,1,0,1,1,1,0,0,1
111,0,0,1,1,0,1,1,1,1,1,1
112,0,0,1,1,1,0,0,0,0,0,1
113,0,0,1,1,1,0,0,0,1,0,1
114,0,0,1,1,1,0,0,1,0,0,1
115,0,0,1,1,1,0,0,1,1,0,1
116,0,0,1,1,1,0,1,0,0,0,1
117,0,0,1,1,1,0,1,0,1,0,1
118,0,0,1,1,1,0,1,1,0,0,1
119,0,0,1,1,1,0,1,1,1,1,1
120,0,0,1,1,1,1,0,0,0,0,1
121,0,0,1,1,1,1,0,0,1,0,1
122,0,0,1,1,1,1,0,1,0,0,1
123,0,0,1,1,1,1,0,1,1,1,1
124,0,0,1,1,1,1,1,0,0,0,1
125,0,0,1,1,1,1,1,0,1,0,1
126,0,0,1,1,1,1,1,1,0,0,1
127,0,0,1,1,1,1,1,1,1,1,1
128,0,1,0,0,0,0,0,0,0,0,1
129,0,1,0,0,0,0,0,0,1,0,1
130,0,1,0,0,0,0,0,1,0,0,1
131,0,1,0,0,0,0,0,1,1,0,1
132,0,1,0,0,0,0,1,0,0,0,1
133,0,1,0,0,0,0,1,0,1,0,1
134,0,1,0,0,0,0,1,1,0,0,1
135,0,1,0,0,0,0,1,1,1,1,1
136,0,1,0,0,0,1,0,0,0,0,1
137,0,1,0,0,0,1,0,0,1,0,1
138,0,1,0,0,0,1,0,1,0,0,1
139,0,1,0,0,0,1,0,1,1,1,1
140,0,1,0,0,0,1,1,0,0,0,1
141,0,1,0,0,0,1,1,0,1,0,1
142,0,1,0,0,0,1,1,1,0,0,1
143,0,1,0,0,0,1,1,1,1,1,1
144,0,1,0,0,1,0,0,0,0,0,1
145,0,1,0,0,1,0,0,0,1,0,1
146,0,1,0,0,1,0,0,1,0,0,1
147,0,1,0,0,1,0,0,1,1,0,1
148,0,1,0,0,1,0,1,0,0,0,1
149,0,1,0,0,1,0,1,0,1,0,1
150,0,1,0,0,1,0,1,1,0,0,1
151,0,1,0,0,1,0,1,1,1,1,1
152,0,1,0,0,1,1,0,0,0,0,1
153,0,1,0,0,1,1,0,0,1,0,1
154,0,1,0,0,1,1,0,1,0,0,1
155,0,1,0,0,1,1,0,1,1,1,1
156,0,1,0,0,1,1,1,0,0,0,1
157,0,1,0,0,1,1,1,0,1,0,1
158,0,1,0,0,1,1,1,1,0,0,1
159,0,1,0,0,1,1,1,1,1,1,1
160,0,1,0,1,0,0,0,0,0,0,1
161,0,1,0,1,0,0,0,0,1,0,1
162,0,1,0,1,0,0,0,1,0,0,1
163,0,1,0,1,0,0,0,1,1,0,1
164,0,1,0,1,0,0,1,0,0,0,1
165,0,1,0,1,0,0,1,0,1,0,1
166,0,1,0,1,0,0,1,1,0,0,1
167,0,1,0,1,0,0,1,1,1,1,1
168,0,1,0,1,0,1,0,0,0,0,1
169,0,1,0,1,0,1,0,0,1,0,1
170,0,1,0,1,0,1,0,1,0,0,1
171,0,1,0,1,0,1,0,1,1,1,1
172,0,1,0,1,0,1,1,0,0,0,1
173,0,1,0,1,0,1,1,0,1,0,1
174,0,1,0,1,0,1,1,1,0,0,1
175,0,1,0,1,0,1,1,1,1,1,1
176,0,1,0,1,1,0,0,0,0,0,1
177,0,1,0,1,1,0,0,0,1,0,1
178,0,1,0,1,1,0,0,1,0,0,1
179,0,1,0,1,1,0,0,1,1,0,1
180,0,1,0,1,1,0,1,0,0,0,1
181,0,1,0,1,1,0,1,0,1,0,1
182,0,1,0,1,1,0,1,1,0,0,1
183,0,1,0,1,1,0,1,1,1,1,1
184,0,1,0,1,1,1,0,0,0,0,1
185,0,1,0,1,1,1,0,0,1,0,1
186,0,1,0,1,1,1,0,1,0,0,1
187,0,1,0,1,1,1,0,1,1,1,1
188,0,1,0,1,1,1,1,0,0,0,1
189,0,1,0,1,1,1,1,0,1,0,1
190,0,1,0,1,1,1,1,1,0,0,1
191,0,1,0,1,1,1,1,1,1,1,1
192,0,1,1,0,0,0,0,0,0,0,1
193,0,1,1,0,0,0,0,0,1,0,1
194,0,1,1,0,0,0,0,1,0,0,1
195,0,1,1,0,0,0,0,1,1,0,1
196,0,1,1,0,0,0,1,0,0,0,1
197,0,1,1,0,0,0,1,0,1,0,1
198,0,1,1,0,0,0,1,1,0,0,1
199,0,1,1,0,0,0,1,1,1,1,1
200,0,1,1,0,0,1,0,0,0,0,1
201,0,1,1,0,0,1,0,0,1,0,1
202,0,1,1,0,0,1,0,1,0,0,1
203,0,1,1,0,0,1,0,1,1,1,1
204,0,1,1,0,0,1,1,0,0,0,1
205,0,1,1,0,0,1,1,0,1,0,1
206,0,1,1,0,0,1,1,1,0,0,1
207,0,1,1,0,0,1,1,1,1,1,1
208,0,1,1,0,1,0,0,0,0,0,1
209,0,1,1,0,1,0,0,0,1,0,1
210,0,1,1,0,1,0,0,1,0,0,1
211,0,1,1,0,1,0,0,1,1,0,1
212,0,1,1,0,1,0,1,0,0,0,1
213,0,1,1,0,1,0,1,0,1,0,1
214,0,1,1,0,1,0,1,1,0,0,1
215,0,1,1,0,1,0,1,1,1,1,1
216,0,1,1,0,1,1,0,0,0,0,1
217,0,1,1,0,1,1,0,0,1,0,1
218,0,1,1,0,1,1,0,1,0,0,1
219,0,1,1,0,1,1,0,1,1,1,1
220,0,1,1,0,1,1,1,0,0,0,1
221,0,1,1,0,1,1,1,0,1,0,1
222,0,1,1,0,1,1,1,1,0,0,1
223,0,1,1,0,1,1,1,1,1,1,1
224,0,1,1,1,0,0,0,0,0,0,1
225,0,1,1,1,0,0,0,0,1,0,1
226,0,1,1,1,0,0,0,1,0,0,1
227,0,1,1,1,0,0,0,1,1,0,1
228,0,1,1,1,0,0,1,0,0,0,1
229,0,1,1,1,0,0,1,0,1,0,1
230,0,1,1,1,0,0,1,1,0,0,1
231,0,1,1,1,0,0,1,1,1,1,1
232,0,1,1,1,0,1,0,0,0,0,1
233,0,1,1,1,0,1,0,0,1,0,1
234,0,1,1,1,0,1,0,1,0,0,1
235,0,1,1,1,0,1,0,1,1,1,1
236,0,1,1,1,0,1,1,0,0,0,1
237,0,1,1,1,0,1,1,0,1,0,1
238,0,1,1,1,0,1,1,1,0,0,1
239,0,1,1,1,0,1,1,1,1,1,1
240,0,1,1,1,1,0,0,0,0,0,1
241,0,1,1,1,1,0,0,0,1,0,1
242,0,1,1,1,1,0,0,1,0,0,1
243,0,1,1,1,1,0,0,1,1,0,1
244,0,1,1,1,1,0,1,0,0,0,1
245,0,1,1,1,1,0,1,0,1,0,1
246,0,1,1,1,1,0,1,1,0,0,1
247,0,1,1,1,1,0,1,1,1,1,1
248,0,1,1,1,1,1,0,0,0,0,1
249,0,1,1,1,1,1,0,0,1,0,1
250,0,1,1,1,1,1,0,1,0,0,1
251,0,1,1,1,1,1,0,1,1,1,1
252,0,1,1,1,1,1,1,0,0,0,1
253,0,1,1,1,1,1,1,0,1,0,1
254,0,1,1,1,1,1,1,1,0,0,1
255,0,1,1,1,1,1,1,1,1,1,1
256,1,0,0,0,0,0,0,0,0,0,1
257,1,0,0,0,0,0,0,0,1,0,1
258,1,0,0,0,0,0,0,1,0,0,1
259,1,0,0,0,0,0,0,1,1,0,1
260,1,0,0,0,0,0,1,0,0,0,1
261,1,0,0,0,0,0,1,0,1,0,1
262,1,0,0,0,0,0,1,1,0,0,1
263,1,0,0,0,0,0,1,1,1,1,1
264,1,0,0,0,0,1,0,0,0,0,1
265,1,0,0,0,0,1,0,0,1,0,1
266,1,0,0,0,0,1,0,1,0,0,1
267,1,0,0,0,0,1,0,1,1,1,1
268,1,0,0,0,0,1,1,0,0,0,1
269,1,0,0,0,0,1,1,0,1,0,1
270,1,0,0,0,0,1,1,1,0,0,1
271,1,0,0,0,0,1,1,1,1,1,1
272,1,0,0,0,1,0,0,0,0,0,1
273,1,0,0,0,1,0,0,0,1,0,1
274,1,0,0,0,1,0,0,1,0,0,1
275,1,0,0,0,1,0,0,1,1,0,1
276,1,0,0,0,1,0,1,0,0,0,1
277,1,0,0,0,1,0,1,0,1,0,1
278,1,0,0,0,1,0,1,1,0,0,1
279,1,0,0,0,1,0,1,1,1,1,1
280,1,0,0,0,1,1,0,0,0,0,1
281,1,0,0,0,1,1,0,0,1,0,1
282,1,0,0,0,1,1,0,1,0,0,1
283,1,0,0,0,1,1,0,1,1,1,1
284,1,0,0,0,1,1,1,0,0,0,1
285,1,0,0,0,1,1,1,0,1,0,1
286,1,0,0,0,1,1,1,1,0,0,1
287,1,0,0,0,1,1,1,1,1,1,1
288,1,0,0,1,0,0,0,0,0,0,1
289,1,0,0,1,0,0,0,0,1,0,1
290,1,0,0,1,0,0,0,1,0,0,1
291,1,0,0,1,0,0,0,1,1,0,1
292,1,0,0,1,0,0,1,0,0,0,1
293,1,0,0,1,0,0,1,0,1,0,1
294,1,0,0,1,0,0,1,1,0,0,1
295,1,0,0,1,0,0,1,1,1,1,1
296,1,0,0,1,0,1,0,0,0,0,1
297,1,0,0,1,0,1,0,0,1,0,1
298,1,0,0,1,0,1,0,1,0,0,1
299,1,0,0,1,0,1,0,1,1,1,1
300,1,0,0,1,0,1,1,0,0,0,1
301,1,0,0,1,0,1,1,0,1,0,1
302,1,0,0,1,0,1,1,1,0,0,1
303,1,0,0,1,0,1,1,1,1,1,1
304,1,0,0,1,1,0,0,0,0,0,1
305,1,0,0,1,1,0,0,0,1,0,1
306,1,0,0,1,1,0,0,1,0,0,1
307,1,0,0,1,1,0,0,1,1,0,1
308,1,0,0,1,1,0,1,0,0,0,1
309,1,0,0,1,1,0,1,0,1,0,1
310,1,0,0,1,1,0,1,1,0,0,1
311,1,0,0,1,1,0,1,1,1,1,1
312,1,0,0,1,1,1,0,0,0,0,1
313,1,0,0,1,1,1,0,0,1,0,1
314,1,0,0,1,1,1,0,1,0,0,1
315,1,0,0,1,1,1,0,1,1,1,1
316,1,0,0,1,1,1,1,0,0,0,1
317,1,0,0,1,1,1,1,0,1,0,1
318,1,0,0,1,1,1,1,1,0,0,1
319,1,0,0,1,1,1,1,1,1,1,1
320,1,0,1,0,0,0,0,0,0,0,1
321,1,0,1,0,0,0,0,0,1,0,1
322,1,0,1,0,0,0,0,1,0,0,1
323,1,0,1,0,0,0,0,1,1,0,1
324,1,0,1,0,0,0,1,0,0,0,1
325,1,0,1,0,0,0,1,0,1,0,1
326,1,0,1,0,0,0,1,1,0,0,1
327,1,0,1,0,0,0,1,1,1,1,1
328,1,0,1,0,0,1,0,0,0,0,1
329,1,0,1,0,0,1,0,0,1,0,1
330,1,0,1,0,0,1,0,1,0,0,1
331,1,0,1,0,0,1,0,1,1,1,1
332,1,0,1,0,0,1,1,0,0,0,1
333,1,0,1,0,0,1,1,0,1,0,1
334,1,0,1,0,0,1,1,1,0,0,1
335,1,0,1,0,0,1,1,1,1,1,1
336,1,0,1,0,1,0,0,0,0,0,1
337,1,0,1,0,1,0,0,0,1,0,1
338,1,0,1,0,1,0,0,1,0,0,1
339,1,0,1,0,1,0,0,1,1,0,1
340,1,0,1,0,1,0,1,0,0,0,1
341,1,0,1,0,1,0,1,0,1,0,1
342,1,0,1,0,1,0,1,1,0,0,1
343,1,0,1,0,1,0,1,1,1,1,1
344,1,0,1,0,1,1,0,0,0,0,1
345,1,0,1,0,1,1,0,0,1,0,1
346,1,0,1,0,1,1,0,1,0,0,1
347,1,0,1,0,1,1,0,1,1,1,1
348,1,0,1,0,1,1,1,0,0,0,1
349,1,0,1,0,1,1,1,0,1,0,1
350,1,0,1,0,1,1,1,1,0,0,1
351,1,0,1,0,1,1,1,1,1,1,1
352,1,0,1,1,0,0,0,0,0,0,1
353,1,0,1,1,0,0,0,0,1,0,1
354,1,0,1,1,0,0,0,1,0,0,1
355,1,0,1,1,0,0,0,1,1,0,1
356,1,0,1,1,0,0,1,0,0,0,1
357,1,0,1,1,0,0,1,0,1,0,1
358,1,0,1,1,0,0,1,1,0,0,1
359,1,0,1,1,0,0,1,1,1,1,1
360,1,0,1,1,0,1,0,0,0,0,1
361,1,0,1,1,0,1,0,0,1,0,1
362,1,0,1,1,0,1,0,1,0,0,1
363,1,0,1,1,0,1,0,1,1,1,1
364,1,0,1,1,0,1,1,0,0,0,1
365,1,0,1,1,0,1,1,0,1,0,1
366,1,0,1,1,0,1,1,1,0,0,1
367,1,0,1,1,0,1,1,1,1,1,1
368,1,0,1,1,1,0,0,0,0,0,1
369,1,0,1,1,1,0,0,0,1,0,1
370,1,0,1,1,1,0,0,1,0,0,1
371,1,0,1,1,1,0,0,1,1,0,1
372,1,0,1,1,1,0,1,0,0,0,1
373,1,0,1,1,1,0,1,0,1,0,1
374,1,0,1,1,1,0,1,1,0,0,1
375,1,0,1,1,1,0,1,1,1,1,1
376,1,0,1,1,1,1,0,0,0,0,1
377,1,0,1,1,1,1,0,0,1,0,1
378,1,0,1,1,1,1,0,1,0,0,1
379,1,0,1,1,1,1,0,1,1,1,1
380,1,0,1,1,1,1,1,0,0,0,1
381,1,0,1,1,1,1,1,0,1,0,1
382,1,0,1,1,1,1,1,1,0,0,1
383,1,0,1,1,1,1,1,1,1,1,1
384,1,1,0,0,0,0,0,0,0,0,1
385,1,1,0,0,0,0,0,0,1,0,1
386,1,1,0,0,0,0,0,1,0,0,1
387,1,1,0,0,0,0,0,1,1,0,1
388,1,1,0,0,0,0,1,0,0,0,1
389,1,1,0,0,0,0,1,0,1,0,1
390,1,1,0,0,0,0,1,1,0,0,1
391,1,1,0,0,0,0,1,1,1,1,1
392,1,1,0,0,0,1,0,0,0,0,1
393,1,1,0,0,0,1,0,0,1,0,1
394,1,1,0,0,0,1,0,1,0,0,1
395,1,1,0,0,0,1,0,1,1,1,1
396,1,1,0,0,0,1,1,0,0,0,1
397,1,1,0,0,0,1,1,0,1,0,1
398,1,1,0,0,0,1,1,1,0,0,1
399,1,1,0,0,0,1,1,1,1,1,1
400,1,1,0,0,1,0,0,0,0,0,1
401,1,1,0,0,1,0,0,0,1,0,1
402,1,1,0,0,1,0,0,1,0,0,1
403,1,1,0,0,1,0,0,1,1,0,1
404,1,1,0,0,1,0,1,0,0,0,1
405,1,1,0,0,1,0,1,0,1,0,1
406,1,1,0,0,1,0,1,1,0,0,1
407,1,1,0,0,1,0,1,1,1,1,1
408,1,1,0,0,1,1,0,0,0,0,1
409,1,1,0,0,1,1,0,0,1,0,1
410,1,1,0,0,1,1,0,1,0,0,1
411,1,1,0,0,1,1,0,1,1,1,1
412,1,1,0,0,1,1,1,0,0,0,1
413,1,1,0,0,1,1,1,0,1,0,1
414,1,1,0,0,1,1,1,1,0,0,1
415,1,1,0,0,1,1,1,1,1,1,1
416,1,1,0,1,0,0,0,0,0,0,1
417,1,1,0,1,0,0,0,0,1,0,1
418,1,1,0,1,0,0,0,1,0,0,1
419,1,1,0,1,0,0,0,1,1,0,1
420,1,1,0,1,0,0,1,0,0,0,1
421,1,1,0,1,0,0,1,0,1,0,1
422,1,1,0,1,0,0,1,1,0,0,1
423,1,1,0,1,0,0,1,1,1,1,1
424,1,1,0,1,0,1,0,0,0,0,1
425,1,1,0,1,0,1,0,0,1,0,1
426,1,1,0,1,0,1,0,1,0,0,1
427,1,1,0,1,0,1,0,1,1,1,1
428,1,1,0,1,0,1,1,0,0,0,1
429,1,1,0,1,0,1,1,0,1,0,1
430,1,1,0,1,0,1,1,1,0,0,1
431,1,1,0,1,0,1,1,1,1,1,1
432,1,1,0,1,1,0,0,0,0,0,1
433,1,1,0,1,1,0,0,0,1,0,1
434,1,1,0,1,1,0,0,1,0,0,1
435,1,1,0,1,1,0,0,1,1,0,1
436,1,1,0,1,1,0,1,0,0,0,1
437,1,1,0,1,1,0,1,0,1,0,1
438,1,1,0,1,1,0,1,1,0,0,1
439,1,1,0,1,1,0,1,1,1,1,1
440,1,1,0,1,1,1,0,0,0,0,1
441,1,1,0,1,1,1,0,0,1,0,1
442,1,1,0,1,1,1,0,1,0,0,1
443,1,1,0,1,1,1,0,1,1,1,1
444,1,1,0,1,1,1,1,0,0,0,1
445,1,1,0,1,1,1,1,0,1,0,1
446,1,1,0,1,1,1,1,1,0,0,1
447,1,1,0,1,1,1,1,1,1,1,1
448,1,1,1,0,0,0,0,0,0,0,1
449,1,1,1,0,0,0,0,0,1,0,1
450,1,1,1,0,0,0,0,1,0,0,1
451,1,1,1,0,0,0,0,1,1,0,1
452,1,1,1,0,0,0,1,0,0,0,1
453,1,1,1,0,0,0,1,0,1,0,1
454,1,1,1,0,0,0,1,1,0,0,1
455,1,1,1,0,0,0,1,1,1,1,1
456,1,1,1,0,0,1,0,0,0,0,1
457,1,1,1,0,0,1,0,0,1,0,1
458,1,1,1,0,0,1,0,1,0,0,1
459,1,1,1,0,0,1,0,1,1,1,1
460,1,1,1,0,0,1,1,0,0,0,1
461,1,1,1,0,0,1,1,0,1,0,1
462,1,1,1,0,0,1,1,1,0,0,1
463,1,1,1,0,0,1,1,1,1,1,1
464,1,1,1,0,1,0,0,0,0,0,1
465,1,1,1,0,1,0,0,0,1,0,1
466,1,1,1,0,1,0,0,1,0,0,1
467,1,1,1,0,1,0,0,1,1,0,1
468,1,1,1,0,1,0,1,0,0,0,1
469,1,1,1,0,1,0,1,0,1,0,1
470,1,1,1,0,1,0,1,1,0,0,1
471,1,1,1,0,1,0,1,1,1,1,1
472,1,1,1,0,1,1,0,0,0,0,1
473,1,1,1,0,1,1,0,0,1,0,1
474,1,1,1,0,1,1,0,1,0,0,1
475,1,1,1,0,1,1,0,1,1,1,1
476,1,1,1,0,1,1,1,0,0,0,1
477,1,1,1,0,1,1,1,0,1,0,1
478,1,1,1,0,1,1,1,1,0,0,1
479,1,1,1,0,1,1,1,1,1,1,1
480,1,1,1,1,0,0,0,0,0,0,1
481,1,1,1,1,0,0,0,0,1,0,1
482,1,1,1,1,0,0,0,1,0,0,1
483,1,1,1,1,0,0,0,1,1,0,1
484,1,1,1,1,0,0,1,0,0,0,1
485,1,1,1,1,0,0,1,0,1,0,1
486,1,1,1,1,0,0,1,1,0,0,1
487,1,1,1,1,0,0,1,1,1,1,1
488,1,1,1,1,0,1,0,0,0,0,1
489,1,1,1,1,0,1,0,0,1,0,1
490,1,1,1,1,0,1,0,1,0,0,1
491,1,1,1,1,0,1,0,1,1,1,1
492,1,1,1,1,0,1,1,0,0,0,1
493,1,1,1,1,0,1,1,0,1,0,1
494,1,1,1,1,0,1,1,1,0,0,1
495,1,1,1,1,0,1,1,1,1,1,1
496,1,1,1,1,1,0,0,0,0,0,1
497,1,1,1,1,1,0,0,0,1,0,1
498,1,1,1,1,1,0,0,1,0,0,1
499,1,1,1,1,1,0,0,1,1,0,1
500,1,1,1,1,1,0,1,0,0,0,1
501,1,1,1,1,1,0,1,0,1,0,1
502,1,1,1,1,1,0,1,1,0,0,1
503,1,1,1,1,1,0,1,1,1,1,1
504,1,1,1,1,1,1,0,0,0,0,1
505,1,1,1,1,1,1,0,0,1,0,1
506,1,1,1,1,1,1,0,1,0,0,1
507,1,1,1,1,1,1,0,1,1,1,1
508,1,1,1,1,1,1,1,0,0,0,1
509,1,1,1,1,1,1,1,0,1,0,1
510,1,1,1,1,1,1,1,1,0,0,1
511,1,1,1,1,1,1,1,1,1,1,1
